# File generated fom CXRO data
# found in https://henke.lbl.gov/optical_constants/asf.html
#S 89 Ac
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     7079.2200     85.298300     15.113500
     7193.7200     85.370300     14.745000
     7310.0700     85.433500     14.384500
     7428.3100     85.488600     14.032300
     7548.4500     85.535900     13.687400
     7670.5400     85.575600     13.350700
     7794.6100     85.608600     13.021400
     7920.6800     85.634700     12.699400
     8048.7900     85.654500     12.385100
     8178.9800     85.668200     12.077800
     8311.2600     85.676200     11.778100
     8445.6900     85.679200     11.485400
     8582.2900     85.677100     11.199300
     8721.1100     85.670000     10.920100
     8862.1600     85.658200     10.647400
     9005.5000     85.642200     10.381700
     9151.1600     85.622300     10.121800
     9299.1700     85.598500      9.868910
     9449.5800     85.571600      9.621760
     9602.4200     85.541900      9.380930
     9757.7300     85.510200      9.146030
     9915.5500     85.485400      8.916410
    10075.9000     85.457800      8.670870
    10238.9000     85.408100      8.432040
    10404.5000     85.352000      8.199810
    10572.8000     85.288800      7.974080
    10743.8000     85.219200      7.754750
    10917.6000     85.143400      7.541710
    11094.2000     85.061700      7.334860
    11273.6000     84.974100      7.134070
    11455.9000     84.880600      6.939250
    11641.2000     84.781100      6.750280
    11829.5000     84.675400      6.567030
    12020.8000     84.563300      6.389400
    12215.3000     84.444200      6.217260
    12412.8000     84.317600      6.050520
    12613.6000     84.182900      5.889040
    12817.6000     84.039100      5.732730
    13025.0000     83.885000      5.581450
    13235.6000     83.719100      5.435090
    13449.7000     83.539300      5.293560
    13667.2000     83.343100      5.156720
    13888.3000     83.126600      5.024470
    14112.9000     82.884800      4.896700
    14341.2000     82.610200      4.773290
    14573.1000     82.291300      4.654150
    14808.9000     81.909100      4.539160
    15048.4000     81.429400      4.428220
    15291.8000     80.779500      4.321220
    15539.1000     79.756400      4.218070
    15790.4000     77.145300      4.118650
    15870.9000     64.524700      4.087650
    15871.1000     64.525400     10.044000
    16045.8000     78.752200      9.854680
    16305.4000     80.499200      9.583690
    16569.1000     81.369300      9.320160
    16837.1000     81.917500      9.063880
    17109.4000     82.285100      8.814660
    17386.1000     82.527200      8.572290
    17667.4000     82.666200      8.336590
    17953.1000     82.706000      8.107380
    18243.5000     82.630400      7.884470
    18538.6000     82.382900      7.667700
    18838.4000     81.743200      7.456890
    19083.1000     74.357700      7.291520
    19083.3000     74.357800     10.291800
    19143.1000     80.481800     10.244900
    19452.7000     82.180400     10.007900
    19767.4000     82.252600      9.776360
    19839.9000     79.621200      9.724250
    19840.1000     79.621600     11.044400
    20087.1000     83.310100     10.852000
    20412.0000     84.078400     10.607500
    20742.1000     84.612700     10.366400
    21077.6000     85.037400     10.128900
    21418.5000     85.393200      9.895020
    21765.0000     85.699800      9.664830
    22117.0000     85.968700      9.438410
    22474.7000     86.207400      9.215770
    22838.2000     86.420900      8.996950
    23207.6000     86.613200      8.781980
    23583.0000     86.786900      8.570880
    23964.4000     86.944600      8.363660
    24352.0000     87.087900      8.160310
    24745.9000     87.218500      7.960850
    25146.2000     87.337500      7.765260
    25552.9000     87.446000      7.573540
    25966.2000     87.545000      7.385660
    26386.1000     87.635300      7.201600
    26812.9000     87.717600      7.021340
    27246.6000     87.792500      6.844850
    27687.3000     87.860600      6.672100
    28135.1000     87.922400      6.503040
    28590.2000     87.978300      6.337660
    29052.6000     88.028800      6.175890
    29522.5000     88.074200      6.017700
    30000.0000     88.114900      5.863060
#S 47 Ag
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
       10.0000  -9999.000000      1.185660
       10.1617  -9999.000000      1.229410
       10.3261  -9999.000000      1.274780
       10.4931  -9999.000000      1.321820
       10.6628  -9999.000000      1.382150
       10.8353  -9999.000000      1.455410
       11.0106  -9999.000000      1.532560
       11.1886  -9999.000000      1.613790
